tag_id,tag_name,tag_desc
1,Input and Output,输入输出基础题，练习读写多组数据与格式控制。
2,Game Theory,博弈论题目，分析必胜/必败态并构造最优策略。
3,Data Type,数据类型与表示范围相关，关注溢出、类型转换等细节。
4,Recurrence,递推关系建模与求解，常与动态规划或数学推导结合。
5,Recall,回溯法（递归枚举与剪枝）解决组合搜索类问题。
6,Date and Time Calculation,日期时间计算，处理闰年、时间差与格式化输出。
7,Search,搜索算法主题，常见 DFS/BFS 与状态空间搜索。
8,Bit Operation,位运算技巧，如与/或/异或、位掩码与移位。
9,Linked List,链表操作与指针处理，如插入、删除、反转与合并。
10,Stack,栈结构应用，如括号匹配、表达式求值、单调栈等。
11,Queue,队列结构应用，如 BFS、滑动窗口与多源扩展。
12,String,字符串处理基础，包含遍历、子串、转换与统计。
14,Tree Structure,树结构基础与遍历，关注父子关系与子树处理。
15,Graph Theory,图论基础与经典算法，如连通性、最短路与遍历。
16,Sort,排序算法与应用，比较稳定性、复杂度与适用场景。
17,Divide and Conquer,分治思想，将问题拆分后合并结果以降低复杂度。
18,Recursion,递归思想与实现，强调边界条件、返回值与栈深度。
19,Matrix/Determinant,矩阵与行列式相关计算，包含矩阵运算与性质应用。
21,Simulation,按题意模拟过程，重点在边界处理与细节实现。
22,Exponentiation by Squaring,快速幂算法，利用二分幂次把复杂度降到对数级。
23,Brute Force,暴力枚举解法，必要时结合剪枝或预处理优化。
24,Dynamic Programming,动态规划，进行状态定义、转移设计与优化。
25,Fast Fourier Transform,FFT 快速傅里叶变换，用于多项式乘法/卷积加速。
26,Computing Geometry,计算几何，处理点线面关系、相交判断与面积计算。
27,Number Theory,数论基础，包含模运算、素数、因子分解与同余。
30,Precision,精度处理与误差控制，浮点比较、输出格式与容差设置。
31,Pruning Algorithm,剪枝策略，减少搜索空间以提升回溯/枚举效率。
34,Huffman Coding,哈夫曼编码，构造最优前缀码并计算编码代价。
37,Convex Closure,凸包问题，构建凸包并用于几何优化与判定。
39,Quick Sort,快速排序算法，基于分区的高效比较排序。
40,Bisection Method,二分法求解单调函数/方程的根或可行解。
41,Escape String,转义字符串处理，如\n、\t、引号与反斜杠等。
42,Polynomial,多项式表示与运算，如加减乘、求值与求导等。
43,Merge Sort,归并排序与分治合并，常用于稳定排序与逆序对统计。
47,Pipeline Scheduling,流水线调度问题，安排工序/机器以最小化总完成时间。
49,Disjoint Set Union,并查集（DSU），支持集合合并与连通性查询。
50,Minimal Spanning Tree,最小生成树（MST），如 Kruskal/Prim 算法求解。
52,Binary Problem,二进制相关题目，涉及进制转换、位表示与运算。
53,Heap,堆结构及其应用，如堆排序与动态最值维护。
54,0-1 Knapsack Problem,0-1 背包问题，每件物品只能选或不选的动态规划模型。
56,Exponentiation Problem,幂运算相关题目，常见快速幂、模幂与幂次性质应用。
59,Segment Tree,线段树数据结构，支持区间查询与区间/单点更新。
63,Binary Search Tree,二叉搜索树（BST），利用有序性进行查找、插入与删除。
64,Complex,复数运算与表示，处理实部虚部、模长与辐角等。
65,Complete Pack,完全背包问题，每件物品可重复选择的动态规划模型。
70,Inverted Order Pair,逆序对统计，常用归并排序或树状数组/线段树求解。
71,Priority Queue,优先队列应用，维护动态最小/最大值并支持快速取出。
72,Hanoi Tower Problem,汉诺塔问题，使用递归推导最优移动步骤与次数。
73,Set,集合结构与操作，如去重、并集/交集/差集等。
74,Dijkstra Algorithm,Dijkstra 最短路算法，用于非负权图的单源最短路。
75,Floyd-Warshall Algorithm,Floyd 全源最短路算法，基于动态规划的三重循环更新。
79,Bubble Sort,冒泡排序算法，通过交换相邻元素完成排序。
80,Binary System,二进制系统与进制表示，涉及位权、转换与编码。
81,Convolution,卷积运算，常用于序列乘法、计数与信号处理建模。
83,Multiple Choice Knapsack,多重/分组背包问题，在限定选择方式下进行动态规划。
87,Deep First Search(DFS),深度优先搜索（DFS），用于树/图遍历与路径枚举。
91,Hamming Distance,汉明距离，统计两个序列/整数在对应位上的不同数量。
92,Greatest Common Divisor,最大公约数（GCD），使用欧几里得算法及其扩展应用。
94,Pointer,指针基础与内存地址操作（常见于 C/C++）。
95,Hash Table,哈希表（散列表），键值映射与冲突处理策略。
96,A+B Problem,经典 A+B 入门题型，用于练习基础输入输出与加法。
104,Mathematical Computation,数学计算题，包含公式推导、代入计算与数值处理。
114,Fibonacci Sequence,斐波那契数列，常用递推、矩阵快速幂或线性递推优化。
122,Data Structure,数据结构综合题，选择合适结构以优化时间与空间复杂度。
125,Derangement,错排问题（derangement），组合数学计数与递推求解。
138,Loop Program,循环结构题，考察 for/while 控制流程与边界处理。
142,Basic Code,基础编程题，练习变量、分支、循环与简单函数。
164,Binary Search on Result,二分答案，利用可行性单调性在答案空间进行二分。
167,High Accuracy,高精度运算，处理大整数或高精度加减乘除。
168,Longest Increasing Subsequence,最长递增子序列（LIS），常用 DP 或贪心+二分优化。
170,Matrix Chain Multiplication,矩阵连乘最优括号化问题，典型区间动态规划。
173,"Complementation;
complementation",补码与求补相关，理解二进制补表示与转换规则。
174,Longest Common Subsequence,最长公共子序列（LCS），典型字符串动态规划模型。
175,Decision,判定/决策类题目，根据条件判断并输出对应结果。
185,Array,数组基础与常见操作，包含遍历、区间处理与统计。
205,Prime Number,素数相关，包含判定、筛法与质因数分解。
208,Narcissistic Number,水仙花数/自幂数问题，进行数位分解与判定。
221,Binary Searching,二分查找算法，在有序序列中快速定位目标元素。
223,Standard Template Library(STL),C++ STL 容器与算法使用，如 vector、map、sort 等。
230,Method of Successive Division,连除法进制转换，通过“除基取余”得到目标进制表示。
231,Trie,字典树（Trie/前缀树），用于前缀查询与字符串统计。
232,Max-flow,最大流算法，进行网络流建模并求解最大可行流量。
233,Maximum Binary Matching,二分图最大匹配，常用匈牙利算法或网络流求解。
237,String Matching,字符串匹配问题，如 KMP、模式查找与子串定位。
241,Probability DP,概率动态规划，根据概率转移计算事件概率或期望。
242,Fractional Knapsack,分数背包问题，按价值密度贪心选择可分割物品。
244,Knapsack Problem,背包问题总类，包括 0-1/完全/多重/分组等变体。
255,Minimum Edit Distance,最小编辑距离，字符串 DP（插入/删除/替换）。
264,Partial Greedy Algorithm,局部贪心策略，基于局部最优选择构造整体解。
265,Probability Statistics,概率统计题，计算分布、期望、方差与组合概率。
276,Weight Problem,称重/权重相关问题，常用 DP、贪心或数学建模。
279,Greedy Algorithm,贪心算法，通过局部最优选择构造全局最优或近似解。
281,Cross Product,叉积（向量积），用于方向判断、面积计算与几何判定。
285,Nearest Neighbor,最近邻问题，寻找距离最近的点对或最小距离。
298,Inversion,逆序相关问题，统计排列/序列的逆序数量或性质。
313,Mathematical Geometry,数学几何题，结合代数推导与坐标几何方法求解。
330,Horner's Rule,霍纳法则（秦九韶算法），高效进行多项式求值。
345,Dot Product,点积（内积），用于投影、夹角与相似度计算。
356,Expected DP,期望 DP，求解随机过程或随机策略下的期望值。
357,Binary Tree,二叉树相关，包含遍历、性质、构建与常见操作。
